epoch,accuracy,f1-score,iou_score,loss,val_accuracy,val_f1-score,val_iou_score,val_loss
0,0.770348846912384,0.45899349451065063,0.3381303548812866,1.1030421257019043,0.47379258275032043,0.30919042229652405,0.20756196975708008,7.504073143005371
1,0.9303192496299744,0.6559759974479675,0.5438520908355713,0.5507467985153198,0.8530076146125793,0.5086556077003479,0.4115787744522095,0.9029120206832886
2,0.9489318132400513,0.7002975940704346,0.613219141960144,0.4436032474040985,0.872276782989502,0.5521963238716125,0.4329882562160492,0.8495299816131592
3,0.9558164477348328,0.7624039649963379,0.655665934085846,0.3962545692920685,0.9065372347831726,0.6352012157440186,0.46030664443969727,0.7217833995819092
4,0.9628610014915466,0.7942045331001282,0.6915169954299927,0.35280126333236694,0.954596996307373,0.7646787166595459,0.5932368636131287,0.5182817578315735
5,0.9673357009887695,0.8112303018569946,0.7105836868286133,0.3278239965438843,0.9476731419563293,0.7347736358642578,0.5621375441551208,0.55063396692276
6,0.9679802060127258,0.8216977715492249,0.7214571833610535,0.314241498708725,0.9538053870201111,0.7654190063476562,0.6202868819236755,0.46902531385421753
7,0.9701884388923645,0.830839216709137,0.7347183227539062,0.29898160696029663,0.9534947872161865,0.7808475494384766,0.6405820250511169,0.4380418062210083
8,0.9725027680397034,0.8485395908355713,0.7533605694770813,0.2783932685852051,0.8979779481887817,0.6477095484733582,0.5160374641418457,0.6239339113235474
9,0.9742436408996582,0.8583387732505798,0.7656946182250977,0.26557478308677673,0.8994876742362976,0.6044013500213623,0.511212170124054,0.6330965757369995
10,0.9769492149353027,0.8694407939910889,0.7806414365768433,0.2482984960079193,0.8760214447975159,0.5844340920448303,0.4842923581600189,0.6849960088729858
11,0.978493332862854,0.8799741268157959,0.794158935546875,0.23254960775375366,0.8338820338249207,0.4180780351161957,0.3574022352695465,0.8865871429443359
12,0.9791364669799805,0.8768081665039062,0.7943127155303955,0.2285163849592209,0.8242833614349365,0.3777399957180023,0.323006272315979,0.9518499970436096
