epoch,accuracy,f1-score,iou_score,loss,val_accuracy,val_f1-score,val_iou_score,val_loss
0,0.8087080717086792,0.492599755525589,0.3338291645050049,0.9960430860519409,0.47788357734680176,0.26598355174064636,0.1480560004711151,2.4987921714782715
1,0.9559497833251953,0.7101603746414185,0.6295847296714783,0.43585124611854553,0.9115383625030518,0.6439571976661682,0.524486243724823,0.6147244572639465
2,0.9668011665344238,0.7310379147529602,0.6695359349250793,0.37487155199050903,0.9610909819602966,0.7121838927268982,0.6390694975852966,0.41412153840065
3,0.9711511731147766,0.739866316318512,0.6874621510505676,0.3492172658443451,0.9694121479988098,0.7337436676025391,0.6801038384437561,0.3582809865474701
4,0.9734483361244202,0.8041956424713135,0.7308631539344788,0.30356231331825256,0.9668890833854675,0.8089724779129028,0.7029819488525391,0.3395688533782959
5,0.9735062122344971,0.8486111760139465,0.7626679539680481,0.2711040675640106,0.967926025390625,0.8268178105354309,0.7297978401184082,0.3097422420978546
6,0.9758445620536804,0.8661547303199768,0.7828033566474915,0.2472749501466751,0.9683193564414978,0.8438182473182678,0.7482428550720215,0.2910965085029602
7,0.9782374501228333,0.879485011100769,0.800100564956665,0.22692735493183136,0.9752705693244934,0.8629623055458069,0.7777932286262512,0.2530575394630432
8,0.9799876809120178,0.8889146447181702,0.8124876618385315,0.21233446896076202,0.9725199341773987,0.8591548800468445,0.7689042091369629,0.2661481201648712
9,0.980728268623352,0.8947985172271729,0.8206798434257507,0.2034177929162979,0.9751573204994202,0.8662582635879517,0.7824380397796631,0.24884836375713348
10,0.9812851548194885,0.8981068134307861,0.8253682255744934,0.19801315665245056,0.9754349589347839,0.8714197874069214,0.7882605791091919,0.24265125393867493
11,0.9809576869010925,0.8995651602745056,0.826965868473053,0.19681239128112793,0.9749014377593994,0.8693900108337402,0.7864012718200684,0.24596215784549713
12,0.9809916019439697,0.9003701210021973,0.8282334208488464,0.19553497433662415,0.973400890827179,0.8602719306945801,0.7756806015968323,0.2600840926170349
13,0.9824736714363098,0.9057978987693787,0.8362665176391602,0.18530122935771942,0.973770022392273,0.8609118461608887,0.7749893069267273,0.2604042887687683
14,0.9835677742958069,0.9097504615783691,0.8425635099411011,0.17818358540534973,0.9777466058731079,0.8789001703262329,0.8000050187110901,0.22943808138370514
15,0.9846519231796265,0.914480447769165,0.8494219183921814,0.1700739562511444,0.9789249897003174,0.881749153137207,0.8055002093315125,0.2226564735174179
16,0.9852561950683594,0.917535126209259,0.8543702363967896,0.16454772651195526,0.9788879156112671,0.8845198154449463,0.8083075881004333,0.2197834849357605
17,0.9857541918754578,0.9188084602355957,0.8564733266830444,0.16170887649059296,0.9789813160896301,0.8830727934837341,0.806982159614563,0.22141017019748688
18,0.9862725138664246,0.9212402701377869,0.8600675463676453,0.15763913094997406,0.9786756634712219,0.8844874501228333,0.8087055087089539,0.22110502421855927
19,0.9862273335456848,0.9222016334533691,0.8615931272506714,0.15619376301765442,0.9794451594352722,0.886293351650238,0.8112921118736267,0.21735087037086487
20,0.9865314364433289,0.9233729243278503,0.8636375069618225,0.15370701253414154,0.9795102477073669,0.8842998743057251,0.8094586730003357,0.21935634315013885
21,0.9869374632835388,0.925531268119812,0.8669478893280029,0.15019488334655762,0.979495108127594,0.8844955563545227,0.809785008430481,0.21900855004787445
22,0.9872106313705444,0.9260694980621338,0.8681416511535645,0.1486043632030487,0.9802060723304749,0.8904443383216858,0.8167980909347534,0.21053287386894226
23,0.9873451590538025,0.9272004961967468,0.8697527647018433,0.14688320457935333,0.9801002740859985,0.8905854225158691,0.8174796104431152,0.21079044044017792
24,0.9875691533088684,0.9283137917518616,0.8713588118553162,0.14492344856262207,0.9800572991371155,0.8879305720329285,0.8147845268249512,0.21351628005504608
25,0.9880077242851257,0.9292430877685547,0.87328040599823,0.14244972169399261,0.9800885319709778,0.8898206949234009,0.816835343837738,0.21153920888900757
26,0.9879516363143921,0.9298627972602844,0.874000608921051,0.1420571208000183,0.9805103540420532,0.8916208148002625,0.8189636468887329,0.20889663696289062
27,0.9881548881530762,0.931176483631134,0.8760056495666504,0.13984118402004242,0.9791090488433838,0.887045681476593,0.8124992251396179,0.21831507980823517
28,0.9883133769035339,0.9317420721054077,0.8773903846740723,0.1380961537361145,0.9798150062561035,0.8919796347618103,0.8193962574005127,0.20905181765556335
29,0.988543689250946,0.9329104423522949,0.8788741827011108,0.13644230365753174,0.9807140231132507,0.8925372362136841,0.820960283279419,0.2070746123790741
30,0.9888688921928406,0.934043824672699,0.8808436393737793,0.13403137028217316,0.9810212254524231,0.8938111066818237,0.8226494193077087,0.20566582679748535
31,0.9890473484992981,0.9346745610237122,0.8820765018463135,0.1325572282075882,0.9806615710258484,0.8905848860740662,0.8185693621635437,0.21055404841899872
32,0.9892053604125977,0.9352717399597168,0.8831130266189575,0.13160231709480286,0.9808169007301331,0.8905472755432129,0.8184637427330017,0.21040476858615875
33,0.989180862903595,0.935815155506134,0.883781373500824,0.13082349300384521,0.9811891913414001,0.8931610584259033,0.8226928114891052,0.20574942231178284
34,0.9895667433738708,0.9366267919540405,0.8852832317352295,0.1287558227777481,0.9808892011642456,0.8928536176681519,0.8217971920967102,0.20723195374011993
35,0.9895637631416321,0.9384453892707825,0.8879655003547668,0.12626397609710693,0.9806869029998779,0.8924908638000488,0.8213039636611938,0.20862512290477753
