epoch,accuracy,loss,val_accuracy,val_loss
0,0.7886004447937012,0.6727322936058044,0.1668640673160553,136.68661499023438
1,0.8808061480522156,0.3553476929664612,0.5722562670707703,2.625589370727539
2,0.9139835834503174,0.24786150455474854,0.7304738163948059,1.3505362272262573
3,0.9296587109565735,0.19941723346710205,0.763905942440033,1.381752610206604
4,0.9402784705162048,0.1675494909286499,0.7682729363441467,0.9261060953140259
5,0.9467917680740356,0.14913979172706604,0.8112186193466187,0.7727896571159363
6,0.9504989981651306,0.13834317028522491,0.8999792337417603,0.3389770984649658
7,0.9557260274887085,0.12348004430532455,0.8401689529418945,0.48555347323417664
8,0.9596896767616272,0.11251349002122879,0.9402555227279663,0.17261840403079987
9,0.9636447429656982,0.1005365252494812,0.9445400834083557,0.1694287210702896
10,0.9657794833183289,0.0941937267780304,0.9416236877441406,0.1761581003665924
