epoch,accuracy,loss,val_accuracy,val_loss
0,0.7752708792686462,0.6542119979858398,0.6147605776786804,10.335066795349121
1,0.8687407374382019,0.3671093285083771,0.6446162462234497,1.901413083076477
2,0.9017952680587769,0.27505120635032654,0.6534100770950317,1.5142854452133179
3,0.9203301072120667,0.22030338644981384,0.60435950756073,2.480877161026001
4,0.9302670955657959,0.19123613834381104,0.6278170943260193,1.9203511476516724
5,0.9380007982254028,0.16938447952270508,0.7997689843177795,0.7768284678459167
6,0.9464712738990784,0.14576144516468048,0.9057246446609497,0.2751528322696686
7,0.9503321051597595,0.13475950062274933,0.9063641428947449,0.27292630076408386
8,0.9551821351051331,0.1221683919429779,0.9414453506469727,0.1683693826198578
9,0.9596313238143921,0.10962100327014923,0.9506853818893433,0.1445494145154953
10,0.9618150591850281,0.10386371612548828,0.9530852437019348,0.13829214870929718
11,0.962921142578125,0.1011572852730751,0.9488663077354431,0.14383330941200256
12,0.9609472155570984,0.10709327459335327,0.9432868361473083,0.16682815551757812
13,0.9612606763839722,0.10670406371355057,0.9419499039649963,0.16347713768482208
