epoch,accuracy,f1-score,iou_score,loss,val_accuracy,val_f1-score,val_iou_score,val_loss
0,0.8813285827636719,0.5910782814025879,0.4396222233772278,0.778032660484314,0.8653221130371094,0.5908226370811462,0.37341979146003723,0.870509684085846
1,0.9609455466270447,0.7202845215797424,0.6487650871276855,0.4090108275413513,0.9525103569030762,0.7047399282455444,0.5919536352157593,0.4886515438556671
2,0.9681457281112671,0.75038081407547,0.6893755197525024,0.3535841107368469,0.9620370268821716,0.7798812389373779,0.6485300660133362,0.41293951869010925
3,0.971451461315155,0.8374968767166138,0.7470126748085022,0.2898832857608795,0.9669569134712219,0.8226349949836731,0.716267466545105,0.32814350724220276
4,0.9741043448448181,0.8590726256370544,0.7721336483955383,0.2608041763305664,0.9708880186080933,0.8438467383384705,0.7509246468544006,0.28669002652168274
5,0.976913332939148,0.8745214939117432,0.7923898100852966,0.23642252385616302,0.9730959534645081,0.8557833433151245,0.766871988773346,0.2673150599002838
6,0.9787179231643677,0.885391891002655,0.8069441318511963,0.2198072224855423,0.9748637080192566,0.8541438579559326,0.7676361799240112,0.26458659768104553
7,0.9800571203231812,0.8937689065933228,0.8181394934654236,0.2071901559829712,0.9769006967544556,0.8637161254882812,0.7813867926597595,0.2484179139137268
8,0.9807915687561035,0.8982020616531372,0.8246538639068604,0.19970524311065674,0.9761087894439697,0.8720793724060059,0.7902599573135376,0.24071162939071655
9,0.9816700220108032,0.902224063873291,0.8305106163024902,0.19229526817798615,0.9782513380050659,0.8756669163703918,0.7966755628585815,0.23166248202323914
10,0.9825772047042847,0.9076221585273743,0.8383750915527344,0.18347793817520142,0.9786980748176575,0.8774690628051758,0.7993319034576416,0.22879208624362946
11,0.9829452037811279,0.9094197154045105,0.8412055373191833,0.1805407702922821,0.977642834186554,0.8781554698944092,0.7993336319923401,0.2309003472328186
12,0.9840603470802307,0.9132895469665527,0.8472367525100708,0.17318551242351532,0.979278564453125,0.88116455078125,0.8046591281890869,0.22302451729774475
13,0.9843780398368835,0.9160503149032593,0.851324200630188,0.16876034438610077,0.9798755645751953,0.8855647444725037,0.810052216053009,0.21640224754810333
14,0.9849668145179749,0.9196527004241943,0.8567190766334534,0.16273246705532074,0.979904294013977,0.8893832564353943,0.8147341012954712,0.21203996241092682
15,0.9855247139930725,0.9217568039894104,0.859954833984375,0.15880537033081055,0.9791433811187744,0.8855251669883728,0.8095217943191528,0.21910418570041656
16,0.9857211709022522,0.9225249290466309,0.8613345623016357,0.1569775491952896,0.9806401133537292,0.8881404995918274,0.8141103982925415,0.21267063915729523
17,0.9862385988235474,0.9250838756561279,0.8652366399765015,0.1526627391576767,0.9804393649101257,0.8918529152870178,0.8184410333633423,0.20856140553951263
18,0.9865750074386597,0.9279084801673889,0.8696423172950745,0.14786291122436523,0.9805141687393188,0.8916360139846802,0.8181426525115967,0.20861311256885529
19,0.9870027899742126,0.9291372299194336,0.8717787861824036,0.1452229619026184,0.9812886714935303,0.8924102783203125,0.8207373023033142,0.20536544919013977
20,0.9873324632644653,0.9313228726387024,0.8753162026405334,0.14144082367420197,0.981120228767395,0.8907122611999512,0.8184182643890381,0.20779258012771606
21,0.9875987768173218,0.931978702545166,0.876323938369751,0.13998961448669434,0.9803643226623535,0.8919912576675415,0.8187488317489624,0.20917952060699463
22,0.9874741435050964,0.9312487244606018,0.8755080699920654,0.14093275368213654,0.9804653525352478,0.8922618627548218,0.819251298904419,0.20924337208271027
23,0.9881548881530762,0.933824360370636,0.8794617652893066,0.13629280030727386,0.9817884564399719,0.8948440551757812,0.8243387341499329,0.20144012570381165
24,0.9882979989051819,0.9351165294647217,0.8818793892860413,0.1336432695388794,0.9813722968101501,0.8960680961608887,0.825241208076477,0.2013123333454132
25,0.9882325530052185,0.9356074333190918,0.882448673248291,0.13295577466487885,0.9813820123672485,0.8956173062324524,0.8244504928588867,0.20246928930282593
26,0.9888052344322205,0.9377681612968445,0.8860076069831848,0.12876306474208832,0.9818655252456665,0.8950734734535217,0.8254644870758057,0.2011863887310028
27,0.9888086318969727,0.9378136992454529,0.8863954544067383,0.12859749794006348,0.9824047088623047,0.8998196721076965,0.8304900527000427,0.1945999711751938
28,0.9891176819801331,0.9387778043746948,0.8880297541618347,0.12640301883220673,0.9809498190879822,0.8951634168624878,0.8232120871543884,0.20478561520576477
29,0.9892899990081787,0.9392552375793457,0.8885517120361328,0.12553031742572784,0.9820518493652344,0.8975253701210022,0.8279664516448975,0.19867341220378876
30,0.9891841411590576,0.9396054744720459,0.8892297148704529,0.12524352967739105,0.9825206398963928,0.8988727331161499,0.8301215171813965,0.19566847383975983
31,0.9896294474601746,0.9411733150482178,0.8917911052703857,0.12219309061765671,0.9824026823043823,0.8963489532470703,0.8275912404060364,0.19882750511169434
32,0.9896836876869202,0.9411668181419373,0.8919646739959717,0.1218351274728775,0.9825946092605591,0.8988929986953735,0.8302578330039978,0.1957574337720871
