epoch,accuracy,loss,val_accuracy,val_loss
0,0.8186662793159485,0.5451545119285583,0.6379607319831848,5.461658000946045
1,0.9036959409713745,0.2724498510360718,0.6706066131591797,1.3699595928192139
2,0.9274519085884094,0.2022906094789505,0.5235310196876526,1.5395886898040771
3,0.9385284781455994,0.17021405696868896,0.7572250962257385,0.6943827867507935
4,0.9417871236801147,0.16003064811229706,0.8954930305480957,0.3103889226913452
5,0.9525763392448425,0.13005156815052032,0.9293055534362793,0.2046278566122055
6,0.9595415592193604,0.11064405739307404,0.9451716542243958,0.1600058674812317
7,0.9621457457542419,0.10391204804182053,0.9479765295982361,0.14886516332626343
8,0.9570176601409912,0.11953144520521164,0.90708988904953,0.29455694556236267
9,0.9608595371246338,0.10719295591115952,0.9559266567230225,0.12752404808998108
10,0.9685435891151428,0.08673471212387085,0.9603515267372131,0.11326844245195389
11,0.9717630743980408,0.0779183879494667,0.9633716940879822,0.10450064390897751
12,0.9740999341011047,0.07169430702924728,0.9677333235740662,0.09259294718503952
13,0.9757331609725952,0.06706418842077255,0.9677336812019348,0.09202447533607483
14,0.9757223725318909,0.06683745980262756,0.9692375659942627,0.08618877083063126
15,0.9768121838569641,0.06420224159955978,0.9664143919944763,0.09999862313270569
16,0.9705261588096619,0.08409593254327774,0.5377603769302368,3.745310068130493
17,0.9497355818748474,0.14032214879989624,0.9388828873634338,0.2062930464744568
